Numbers of Responses,,,,Boolean Counts,,,
total_responses,,,,Variable,Counts,,
736,,,,while_working-yes,579,,
,,,,while_working-no,154,,
Age Statistics,,,,instrumentalist_yes,235,,
avg_age,youngest,oldest,,instrumentalist_no,497,,
25.2068,10,89,,composer_yes,126,,
,,,,composer_no,609,,
Common Streaming Services,,,,exploratory_yes,525,,
Primary_streaming_service,users,,,exploratory_no,211,,
Spotify,458,,,foreign_languages_yes,404,,
YouTube Music,94,,,foreign_languages_no,328,,
I dont use a streaming service.,71,,,,,,
Apple Music,51,,,Average Of All Disorders,,,
Other streaming service,50,,,avg_anxiety,avg_depression,avg_insomnia,avg_ocd
Pandora,11,,,5.8383,4.7976,3.7391,2.6386
NULL,1,,,,,,
,,,,,,,
Average Hours of Music Per Day,,,,,,,
avg_hours_per_day,,,,,,,
3.572758,,,,,,,
